position,predictor
723,dx_C8197
724,dx_C8198
725,dx_C8199
726,dx_C819A
727,dx_C8200
728,dx_C8201
729,dx_C8210
730,dx_C8211
731,dx_C8212
732,dx_C8215
733,dx_C8218
734,dx_C8219
735,dx_C8231
736,dx_C8235
737,dx_C8240
738,dx_C8241
739,dx_C8249
740,dx_C8250
741,dx_C8251
742,dx_C8252
743,dx_C8258
744,dx_C8260
745,dx_C8261
746,dx_C8265
747,dx_C8280
748,dx_C8281
749,dx_C8284
750,dx_C8288
751,dx_C8290
752,dx_C8291
753,dx_C8293
754,dx_C8294
755,dx_C8295
756,dx_C8298
757,dx_C8299
758,dx_C829A
759,dx_C8300
760,dx_C8301
761,dx_C8302
762,dx_C8303
763,dx_C8305
764,dx_C8308
765,dx_C8309
766,dx_C8310
767,dx_C8311
768,dx_C8313
769,dx_C8316
770,dx_C8330
771,dx_C8331
772,dx_C8332
773,dx_C8333
774,dx_C8334
775,dx_C8335
776,dx_C8336
777,dx_C8337
778,dx_C8338
779,dx_C8339
780,dx_C83390
781,dx_C83398
782,dx_C833A
783,dx_C835
784,dx_C8350
785,dx_C8351
786,dx_C8352
787,dx_C8353
788,dx_C8354
789,dx_C8355
790,dx_C8356
791,dx_C8357
792,dx_C8358
793,dx_C8359
794,dx_C835A
795,dx_C8370
796,dx_C8371
797,dx_C8372
798,dx_C8373
799,dx_C8374
800,dx_C8375
801,dx_C8376
802,dx_C8377
803,dx_C8378
804,dx_C8379
805,dx_C837A
806,dx_C8380
807,dx_C8381
808,dx_C8382
809,dx_C8383
810,dx_C8385
811,dx_C8388
812,dx_C8389
813,dx_C8390
814,dx_C8392
815,dx_C8400
816,dx_C8401
817,dx_C8404
818,dx_C8405
819,dx_C8408
820,dx_C8409
821,dx_C840A
822,dx_C8410
823,dx_C8411
824,dx_C8413
825,dx_C8417
826,dx_C8418
827,dx_C8419
828,dx_C841A
829,dx_C8440
830,dx_C8441
831,dx_C8442
832,dx_C8443
833,dx_C8444
834,dx_C8445
835,dx_C8446
836,dx_C8447
837,dx_C8448
838,dx_C8449
839,dx_C844A
840,dx_C8460
841,dx_C8461
842,dx_C8462
843,dx_C8463
844,dx_C8464
845,dx_C8465
846,dx_C8466
847,dx_C8467
848,dx_C8468
849,dx_C8469
850,dx_C846A
851,dx_C8470
852,dx_C8471
853,dx_C8472
854,dx_C8473
855,dx_C8474
856,dx_C8475
857,dx_C8478
858,dx_C8479
859,dx_C847B
860,dx_C8490
861,dx_C8491
862,dx_C8492
863,dx_C8494
864,dx_C8496
865,dx_C8498
866,dx_C8499
867,dx_C849A
868,dx_C84A0
869,dx_C84A1
870,dx_C84A2
871,dx_C84A3
872,dx_C84A4
873,dx_C84A5
874,dx_C84A8
875,dx_C84A9
876,dx_C84AA
877,dx_C84Z0
878,dx_C84Z1
879,dx_C84Z2
880,dx_C84Z3
881,dx_C84Z8
882,dx_C84Z9
883,dx_C851
884,dx_C8510
885,dx_C8511
886,dx_C8512
887,dx_C8513
888,dx_C8514
889,dx_C8515
890,dx_C8516
891,dx_C8517
892,dx_C8518
893,dx_C8519
894,dx_C851A
895,dx_C8520
896,dx_C8521
897,dx_C8522
898,dx_C8523
899,dx_C8524
900,dx_C8528
901,dx_C8529
902,dx_C852A
903,dx_C8580
904,dx_C8581
905,dx_C8582
906,dx_C8583
907,dx_C8584
908,dx_C8585
909,dx_C8586
910,dx_C8587
911,dx_C8588
912,dx_C8589
913,dx_C858A
914,dx_C859
915,dx_C8590
916,dx_C8591
917,dx_C8592
918,dx_C8593
919,dx_C8594
920,dx_C8595
921,dx_C8596
922,dx_C8598
923,dx_C8599
924,dx_C859A
925,dx_C860
926,dx_C8600
927,dx_C8601
928,dx_C861
929,dx_C8610
930,dx_C8611
931,dx_C862
932,dx_C8620
933,dx_C863
934,dx_C8630
935,dx_C864
936,dx_C8640
937,dx_C8641
938,dx_C865
939,dx_C8650
940,dx_C8651
941,dx_C866
942,dx_C8660
943,dx_C8661
944,dx_C880
945,dx_C8800
946,dx_C882
947,dx_C8820
948,dx_C884
949,dx_C8840
950,dx_C8841
951,dx_C888
952,dx_C889
953,dx_C8890
954,dx_C9000
955,dx_C9001
956,dx_C9002
957,dx_C9010
958,dx_C9011
959,dx_C9020
960,dx_C9022
961,dx_C9030
962,dx_C91
963,dx_C910
964,dx_C9100
965,dx_C9101
966,dx_C9102
967,dx_C911
968,dx_C9110
969,dx_C9111
970,dx_C9112
971,dx_C9130
972,dx_C9131
973,dx_C9132
974,dx_C9140
975,dx_C9141
976,dx_C9150
977,dx_C9151
978,dx_C9152
979,dx_C9160
980,dx_C9161
981,dx_C9162
982,dx_C9190
983,dx_C9191
984,dx_C9192
985,dx_C91A0
986,dx_C91A1
987,dx_C91A2
988,dx_C91Z0
989,dx_C91Z1
990,dx_C91Z2
991,dx_C92
992,dx_C920
993,dx_C9200
994,dx_C9201
995,dx_C9202
996,dx_C9210
997,dx_C9211
998,dx_C9212
999,dx_C9220
1000,dx_C9221
1001,dx_C9222
1002,dx_C9230
1003,dx_C9231
1004,dx_C9232
1005,dx_C9240
1006,dx_C9241
1007,dx_C9242
1008,dx_C9250
1009,dx_C9251
1010,dx_C9252
1011,dx_C9260
1012,dx_C9261
1013,dx_C9262
1014,dx_C9290
1015,dx_C9291
1016,dx_C9292
1017,dx_C92A0
1018,dx_C92A1
1019,dx_C92A2
1020,dx_C92Z0
1021,dx_C92Z1
1022,dx_C92Z2
1023,dx_C9300
1024,dx_C9301
1025,dx_C9302
1026,dx_C9310
1027,dx_C9311
1028,dx_C9330
1029,dx_C9331
1030,dx_C9332
1031,dx_C9390
1032,dx_C9391
1033,dx_C93Z0
1034,dx_C9400
1035,dx_C9401
1036,dx_C9402
1037,dx_C9420
1038,dx_C9421
1039,dx_C9422
1040,dx_C9440
1041,dx_C946
1042,dx_C9480
1043,dx_C9481
1044,dx_C9482
1045,dx_C95
1046,dx_C950
1047,dx_C9500
1048,dx_C9501
1049,dx_C9502
1050,dx_C9510
1051,dx_C9511
1052,dx_C959
1053,dx_C9590
1054,dx_C9591
1055,dx_C9592
1056,dx_C960
1057,dx_C962
1058,dx_C9620
1059,dx_C9621
1060,dx_C9622
1061,dx_C9629
1062,dx_C964
1063,dx_C965
1064,dx_C966
1065,dx_C969
1066,dx_C96A
1067,dx_C96Z
1068,dx_D0003
1069,dx_D0007
1070,dx_D0008
1071,dx_D002
1072,dx_D010
1073,dx_D012
1074,dx_D013
1075,dx_D0140
1076,dx_D015
1077,dx_D020
1078,dx_D0220
1079,dx_D0221
1080,dx_D030
1081,dx_D0321
1082,dx_D0322
1083,dx_D0339
1084,dx_D034
1085,dx_D0359
1086,dx_D0361
1087,dx_D0362
1088,dx_D0371
1089,dx_D0372
1090,dx_D038
1091,dx_D039
1092,dx_D040
1093,dx_D044
1094,dx_D045
1095,dx_D0471
1096,dx_D048
1097,dx_D049
1098,dx_D0510
1099,dx_D0511
1100,dx_D0591
1101,dx_D069
1102,dx_D070
1103,dx_D071
1104,dx_D0739
1105,dx_D074
1106,dx_D0760
1107,dx_D0761
1108,dx_D0769
1109,dx_D0910
1110,dx_D0919
1111,dx_D0920
1112,dx_D093
1113,dx_D098
1114,dx_D099
1115,dx_D1391
1116,dx_D1399
1117,dx_D3701
1118,dx_D3702
1119,dx_D37030
1120,dx_D37032
1121,dx_D37039
1122,dx_D3705
1123,dx_D3709
1124,dx_D371
1125,dx_D372
1126,dx_D373
1127,dx_D374
1128,dx_D375
1129,dx_D376
1130,dx_D378
1131,dx_D379
1132,dx_D380
1133,dx_D381
1134,dx_D382
1135,dx_D383
1136,dx_D384
1137,dx_D385
1138,dx_D386
1139,dx_D390
1140,dx_D3910
1141,dx_D3911
1142,dx_D3912
1143,dx_D392
1144,dx_D398
1145,dx_D399
1146,dx_D3A00
1147,dx_D3A010
1148,dx_D3A020
1149,dx_D3A026
1150,dx_D3A029
1151,dx_D3A090
1152,dx_D3A091
1153,dx_D3A093
1154,dx_D3A095
1155,dx_D3A098
1156,dx_D4010
1157,dx_D4011
1158,dx_D4012
1159,dx_D408
1160,dx_D409
1161,dx_D4100
1162,dx_D4101
1163,dx_D4102
1164,dx_D4112
1165,dx_D4120
1166,dx_D4122
1167,dx_D414
1168,dx_D418
1169,dx_D419
1170,dx_D420
1171,dx_D421
1172,dx_D429
1173,dx_D430
1174,dx_D431
1175,dx_D432
1176,dx_D433
1177,dx_D434
1178,dx_D438
1179,dx_D439
1180,dx_D440
1181,dx_D4410
1182,dx_D4411
1183,dx_D4412
1184,dx_D442
1185,dx_D443
1186,dx_D444
1187,dx_D445
1188,dx_D446
1189,dx_D447
1190,dx_D449
1191,dx_D45
1192,dx_D460
1193,dx_D461
1194,dx_D4620
1195,dx_D4621
1196,dx_D4622
1197,dx_D464
1198,dx_D469
1199,dx_D46A
1200,dx_D46B
1201,dx_D46C
1202,dx_D46Z
1203,dx_D470
1204,dx_D4701
1205,dx_D4702
1206,dx_D4709
1207,dx_D471
1208,dx_D472
1209,dx_D473
1210,dx_D474
1211,dx_D479
1212,dx_D47Z1
1213,dx_D47Z2
1214,dx_D47Z9
1215,dx_D480
1216,dx_D481
1217,dx_D48110
1218,dx_D48111
1219,dx_D48112
1220,dx_D48113
1221,dx_D48114
1222,dx_D48115
1223,dx_D48116
1224,dx_D48117
1225,dx_D48118
1226,dx_D48119
1227,dx_D4819
1228,dx_D482
1229,dx_D483
1230,dx_D484
1231,dx_D485
1232,dx_D4860
1233,dx_D4861
1234,dx_D4862
1235,dx_D487
1236,dx_D489
1237,dx_D490
1238,dx_D491
1239,dx_D492
1240,dx_D493
1241,dx_D494
